                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3062,                0.94892,                 1.1786,                 0.9584,                0.91912,                0.97407,                0.63116,                  1.172,                0.86666,                 1.1136,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2939,                0.89897,                 1.1551,                0.95136,                0.93487,                0.96851,                0.61879,                 1.2114,                 0.8656,                 1.1433,               0.001307,               0.001307,               0.001307
                     37,                  1.406,                0.93099,                 1.1758,                0.93875,                0.91912,                0.96526,                0.63611,                 1.1253,                0.87069,                 1.1084,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2926,                0.88081,                  1.103,                0.95869,                0.93863,                0.96863,                0.58651,                 1.2382,                 0.8751,                 1.1046,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2617,                0.82943,                 1.0952,                 0.9442,                0.94485,                0.97136,                0.64754,                 1.0902,                0.85855,                  1.083,              0.0012476,              0.0012476,              0.0012476
                     40,                  1.211,                0.82318,                 1.1103,                0.96687,                0.93382,                0.97287,                0.63055,                 1.2469,                0.81513,                 1.1292,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2619,                0.85483,                 1.1288,                0.94659,                0.95956,                0.97353,                0.63687,                 1.2057,                 0.7928,                 1.1318,               0.001208,               0.001208,               0.001208
                     42,                 1.2591,                 0.8552,                 1.1522,                0.96048,                0.94118,                0.97559,                0.55132,                 1.3846,                0.82541,                 1.1383,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.2435,                0.80658,                 1.0909,                0.95523,                0.94132,                0.97404,                0.64096,                 1.2151,                0.84242,                 1.1024,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.2683,                0.83329,                 1.0949,                0.94269,                0.95221,                0.97578,                0.63979,                 1.1136,                0.86221,                 1.0749,              0.0011486,              0.0011486,              0.0011486
